date, pm25, pm10, o3, no2, so2, co
2019/12/23, 23, 20, 23, 6, 2, 4
2019/12/24, 30, 24, 23, 8, 3, 4
2019/12/25, 39, 26, 33, 9, 2, 5
2019/12/26, 51, 29, 32, 8, 2, 5
2019/12/27, 53, 43, 43, 11, 3, 7
2019/12/28, 81, 34, 36, 6, 2, 7
2019/12/29, 55, 25, 32, 9, 2, 7
2019/12/30, 55, , , , , 
2019/7/1, 47, 13, 21, 5, 1, 5
2019/7/2, 41, 25, 24, 4, 2, 5
2019/7/3, 36, 33, 19, 2, 2, 5
2019/7/4, 41, 10, 25, 2, 2, 5
2019/7/5, 28, 21, 26, 6, 2, 5
2019/7/6, 38, 22, 29, 7, 1, 5
2019/7/7, 42, 24, 31, 4, 2, 5
2019/7/8, 54, 28, 30, 4, 2, 4
2019/7/9, 59, 28, 29, 4, 1, 3
2019/7/10, 60, 27, 26, 5, 1, 3
2019/7/11, 52, 32, 29, 5, 2, 4
2019/7/12, 61, 30, 33, 2, 1, 3
2019/7/13, 62, 32, 34, 4, 2, 4
2019/7/14, 64, 31, 28, 5, 2, 4
2019/7/15, 66, 26, 24, 2, 1, 4
2019/7/16, 59, 24, 23, 3, 2, 4
2019/7/17, 52, 23, 29, 5, 1, 4
2019/7/18, 59, 23, 27, 4, 1, 4
2019/7/19, 52, 30, 29, 6, 2, 4
2019/7/20, 58, 26, 25, 3, 2, 4
2019/7/21, 52, 22, 25, 3, , 4
2019/7/22, 44, 16, 23, 3, 1, 4
2019/7/23, 27, 18, 21, 5, , 4
2019/7/24, 34, 18, 18, 6, 3, 4
2019/7/25, 31, 16, 22, 4, 2, 4
2019/7/26, 25, 15, 22, 4, 1, 4
2019/7/27, 22, 17, 21, 4, 2, 5
2019/7/28, 27, 18, 18, 4, 3, 4
2019/7/29, 31, 19, 24, 5, 2, 4
2019/7/30, 33, 17, 14, 6, 1, 4
2019/7/31, 34, 18, 22, 2, 1, 3
2019/8/1, 25, 26, 20, 2, 1, 4
2019/8/2, 35, 26, 24, 5, 1, 4
2019/8/3, 41, 25, 25, 5, 1, 5
2019/8/4, 44, 23, 22, 6, 1, 5
2019/8/5, 41, 22, 24, 5, 2, 5
2019/8/6, 28, 22, 27, 5, 1, 5
2019/8/7, 48, 24, 25, 6, 2, 4
2019/8/8, 45, 21, 28, 5, 1, 5
2019/8/9, 40, 20, 26, 4, 1, 5
2019/8/10, 36, 16, 22, 2, 1, 4
2019/8/11, 27, 20, 20, 4, 1, 4
2019/8/12, 37, 21, 22, 2, 1, 4
2019/8/13, 35, 23, 21, 2, 1, 4
2019/8/14, 40, 23, 21, 3, 1, 4
2019/8/15, 42, 22, 24, 5, 2, 5
2019/8/16, 43, 27, 22, 6, 3, 5
2019/8/17, 49, 24, 21, 4, 1, 4
2019/8/18, 34, 21, 24, 5, 1, 5
2019/8/19, 36, 21, 21, 5, 2, 5
2019/8/20, 41, 18, 20, 5, 1, 5
2019/8/21, 31, 18, 13, 8, 2, 5
2019/8/22, 35, 15, 16, 5, 2, 5
2019/8/23, 24, 18, 24, 4, 1, 5
2019/8/24, 29, 11, 24, 3, 1, 5
2019/8/25, 18, 17, 16, 7, 1, 5
2019/8/26, 29, 20, 17, 3, 1, 5
2019/8/27, 32, 17, 18, 4, 1, 5
2019/8/28, 31, 23, 15, 3, 1, 4
2019/8/29, 42, 33, 18, 2, 1, 3
2019/8/30, 38, 20, 18, 4, 2, 4
2019/8/31, 28, 18, 14, 4, 2, 4
2019/9/1, 29, 10, 14, 3, 2, 4
2019/9/2, 18, 8, 14, 2, 1, 4
2019/9/3, 12, 17, 14, 2, 2, 4
2019/9/4, 30, 18, 21, 3, 1, 4
2019/9/5, 29, 22, 26, 5, 2, 4
2019/9/6, 39, 22, 28, 6, 2, 5
2019/9/7, 50, 22, 25, 5, 2, 4
2019/9/8, 41, 19, 24, 4, 1, 4
2019/9/9, 38, 19, 19, 4, 2, 5
2019/9/10, 41, 17, 20, 3, 1, 5
2019/9/11, 31, 19, 21, 6, 3, 5
2019/9/12, 39, 23, 26, 4, 2, 5
2019/9/13, 50, 22, 19, 3, 2, 4
2019/9/14, 48, 21, 28, 4, 3, 4
2019/9/15, 49, 25, 31, 6, 3, 4
2019/9/16, 59, 28, 38, 6, 3, 5
2019/9/17, 65, 25, 35, 2, 1, 4
2019/9/18, 57, 29, 41, 2, 1, 4
2019/9/19, 66, 31, 41, 5, 3, 5
2019/9/20, 65, 41, 62, 5, 3, 6
2019/9/21, 97, 51, 76, 6, 3, 6
2019/9/22, 102, 47, 81, 5, 2, 5
2019/9/23, 96, 37, 52, 4, 2, 5
2019/9/24, 68, 35, 61, 2, 1, 5
2019/9/25, 69, 46, 88, 5, 3, 6
2019/9/26, 82, 48, 66, 5, 3, 6
2019/9/27, 79, 52, 85, 6, 3, 6
2019/9/28, 109, 49, 64, 7, 2, 6
2019/9/29, 105, 56, 71, 6, 4, 6
2019/9/30, 125, 52, 57, 5, 7, 7
2019/4/1, 44, 25, 40, 2, 1, 5
2019/4/2, 53, 28, 31, 2, 1, 5
2019/4/3, 55, 23, 28, 2, 1, 4
2019/4/4, 49, 18, 26, 2, 1, 4
2019/4/5, 40, 19, 24, 3, 2, 5
2019/4/6, 46, 19, 18, 4, 1, 5
2019/4/7, 47, 24, 19, 4, 3, 5
2019/4/8, 56, 23, 20, 2, 2, 4
2019/4/9, 50, 25, 16, 4, 3, 5
2019/4/10, 51, 27, 18, 3, 1, 4
2019/4/11, 60, 24, 15, 2, 1, 4
2019/4/12, 44, 17, 14, 1, 1, 3
2019/4/13, 36, 14, 14, 3, 1, 4
2019/4/14, 33, 18, 19, 4, 1, 4
2019/4/15, 44, 13, 14, 2, 1, 4
2019/4/16, 32, 15, 16, 4, 2, 4
2019/4/17, 33, 20, 16, 3, 1, 3
2019/4/18, 47, 33, 24, 4, 2, 4
2019/4/19, 58, 35, 27, 3, 1, 4
2019/4/20, 61, 33, 26, 2, 1, 4
2019/4/21, 58, 28, 20, 2, 1, 4
2019/4/22, 45, 25, 17, 4, 2, 4
2019/4/23, 44, 23, 17, 4, 2, 5
2019/4/24, 48, 32, 29, 5, 1, 4
2019/4/25, 59, 25, 24, 4, 1, 4
2019/4/26, 44, 21, 28, 2, 1, 4
2019/4/27, 43, 24, 30, 3, 1, 4
2019/4/28, 54, 28, 33, 4, 1, 4
2019/4/29, 57, 30, 24, 4, 2, 4
2019/4/30, 53, 29, 36, 4, 2, 5
2019/5/1, 63, 29, 40, 8, 2, 6
2019/5/2, 71, 33, 46, 6, 1, 6
2019/5/3, 75, 28, 42, 3, 1, 6
2019/5/4, 57, 30, 31, 4, 2, 5
2019/5/5, 61, 32, 47, 5, 1, 6
2019/5/6, 70, 31, 39, 3, 1, 5
2019/5/7, 65, 26, 37, 3, 1, 5
2019/5/8, 59, 18, 35, 5, 1, 5
2019/5/9, 40, 23, 37, 5, 1, 5
2019/5/10, 38, 18, 37, 2, 1, 4
2019/5/11, 37, 18, 31, 2, 1, 4
2019/5/12, 41, 13, 23, 3, 1, 4
2019/5/13, 34, 20, 28, 2, 1, 4
2019/5/14, 51, 33, 31, 3, 1, 4
2019/5/15, 64, 30, 29, 3, 1, 4
2019/5/16, 60, 28, 29, 2, 1, 4
2019/5/17, 59, 28, 33, 3, 1, 5
2019/5/18, 57, 29, 34, 3, 1, 5
2019/5/19, 60, 27, 34, 1, 2, 5
2019/5/20, 63, 32, 35, 2, 1, 5
2019/5/21, 64, 27, 32, 5, 3, 5
2019/5/22, 57, 20, 37, 5, 2, 5
2019/5/23, 47, 21, 34, 4, 2, 5
2019/5/24, 53, 21, 31, 4, 2, 4
2019/5/25, 47, 22, 34, 2, 1, 4
2019/5/26, 45, 27, 33, 3, 1, 5
2019/5/27, 49, 23, 30, 5, 1, 5
2019/5/28, 46, 19, 29, 4, 1, 4
2019/5/29, 43, 21, 29, 4, 1, 4
2019/5/30, 36, 17, 29, 4, 1, 5
2019/5/31, 34, 19, 15, 4, 1, 5
2019/6/1, 36, 23, 18, 4, 2, 5
2019/6/2, 44, 23, 22, 4, 1, 5
2019/6/3, 48, 19, 16, 2, 1, 4
2019/6/4, 38, 19, 13, 2, 1, 5
2019/6/5, 31, 16, 18, 2, 1, 4
2019/6/6, 29, 15, 18, 2, 1, 4
2019/6/7, 29, 16, 17, 2, 1, 4
2019/6/8, 26, 15, 25, 1, 1, 4
2019/6/9, 29, 20, 30, 4, 1, 5
2019/6/10, 42, 22, 32, 5, 2, 4
2019/6/11, 44, 21, 31, 5, 3, 4
2019/6/12, 41, 24, 35, 7, 1, 4
2019/6/13, 43, 19, 31, 3, 1, 4
2019/6/14, 42, 22, 27, 6, 1, 5
2019/6/15, 52, 26, 23, 7, 1, 6
2019/6/16, 50, 24, 23, 5, 1, 5
2019/6/17, 42, 20, 26, 4, 1, 5
2019/6/18, 35, 18, 24, 4, 1, 5
2019/6/19, 29, 18, 23, 4, 2, 5
2019/6/20, 43, 19, 20, 2, 1, 4
2019/6/21, 39, 19, 18, 2, 1, 4
2019/6/22, 43, 23, 18, 2, 1, 4
2019/6/23, 41, 27, 22, 2, 1, 4
2019/6/24, 49, 23, 32, 3, 1, 5
2019/6/25, 50, 23, 27, 6, 2, 5
2019/6/26, 45, 26, 31, 6, 1, 5
2019/6/27, 43, 26, 31, 5, 1, 5
2019/6/28, 48, 27, 28, 6, 2, 5
2019/6/29, 49, 28, 31, 5, 2, 5
2019/6/30, 54, 24, 25, 6, 2, 6
2019/1/2, 48, 17, 30, 6, 2, 8
2019/1/3, 33, 18, 31, 7, 2, 7
2019/1/4, 27, 25, 24, 4, 2, 6
2019/1/5, 41, 22, 24, 1, 2, 4
2019/1/6, 52, 20, 50, 3, 2, 5
2019/1/7, 65, 20, 32, 2, 2, 5
2019/1/8, 46, 20, 30, 2, 2, 4
2019/1/9, 47, 24, 29, 1, 2, 4
2019/1/10, 53, 21, 22, 1, 2, 3
2019/1/11, 36, 20, 27, 5, 2, 5
2019/1/12, 50, 21, 25, 4, 2, 5
2019/1/13, 53, 21, 35, 4, 2, 5
2019/1/14, 56, 22, 34, 2, 2, 5
2019/1/15, 55, 22, 36, 2, 2, 6
2019/1/16, 54, 23, 45, 4, 2, 7
2019/1/17, 64, 14, 37, 4, 2, 9
2019/1/18, 42, 22, 46, 3, 2, 8
2019/1/19, 54, 24, 40, 2, 2, 6
2019/1/20, 55, 23, 37, 6, 2, 6
2019/1/21, 55, 17, 38, 3, 2, 7
2019/1/22, 54, 21, 53, 4, 2, 8
2019/1/23, 59, 35, 62, 4, 2, 9
2019/1/24, 91, 41, 57, 4, 5, 7
2019/1/25, 94, 38, 52, 5, 2, 6
2019/1/26, 78, 39, 78, 4, 2, 6
2019/1/27, 86, 42, 55, 3, 2, 6
2019/1/28, 79, 28, 38, 3, 2, 5
2019/1/29, 54, 25, 37, 2, 2, 4
2019/1/30, 45, 26, 36, 2, 2, 5
2019/1/31, 52, 23, 32, 3, 6, 5
2019/2/1, 50, 31, 40, 4, 2, 5
2019/2/2, 69, 23, 32, 4, 2, 4
2019/2/3, 48, 21, 21, 3, 2, 4
2019/2/4, 41, 21, 20, 2, 2, 4
2019/2/5, 47, 33, 21, 2, 3, 3
2019/2/6, 82, 20, 19, 3, 2, 3
2019/2/7, 51, 21, 20, 3, 2, 3
2019/2/8, 50, 25, 22, 2, 2, 3
2019/2/9, 56, 20, 22, 2, 2, 4
2019/2/10, 50, 24, 24, 2, 2, 4
2019/2/11, 63, 25, 27, 2, 2, 4
2019/2/12, 59, 27, 30, 2, 2, 4
2019/2/13, 59, 25, 29, 2, 2, 4
2019/2/14, 51, 22, 24, 2, 2, 4
2019/2/15, 49, 22, 21, 2, 1, 3
2019/2/16, 46, 20, 21, 2, 1, 4
2019/2/17, 46, 20, 23, 2, 1, 4
2019/2/18, 49, 23, 20, 2, 1, 4
2019/2/19, 48, 22, 17, 3, 1, 4
2019/2/20, 51, 26, 17, 3, 1, 4
2019/2/21, 48, 22, 20, 3, 2, 4
2019/2/22, 47, 25, 21, 4, , 4
2019/2/23, 57, 22, 24, 3, 1, 4
2019/2/24, 54, 25, 31, 5, 1, 5
2019/2/25, 58, 28, 31, 4, 1, 6
2019/2/26, 66, 28, 29, 4, 1, 6
2019/2/27, 70, 32, 34, 3, 1, 6
2019/2/28, 67, 23, 30, 2, 1, 5
2019/3/1, 51, 23, 24, 2, 1, 4
2019/3/2, 55, 24, 28, 3, 1, 4
2019/3/3, 50, 27, 28, 4, 1, 4
2019/3/4, 49, 23, 25, 2, 1, 4
2019/3/5, 45, 24, 25, 3, 1, 4
2019/3/6, 48, 33, 26, 5, 1, 5
2019/3/7, 67, 31, 23, 5, 1, 6
2019/3/8, 67, 26, 20, 4, 1, 4
2019/3/9, 50, 24, 18, 5, 1, 4
2019/3/10, 50, 34, 26, 3, 1, 5
2019/3/11, 68, 35, 45, 5, 1, 7
2019/3/12, 79, 32, 49, 4, 1, 7
2019/3/13, 75, 35, 42, 3, 1, 6
2019/3/14, 73, 31, 28, 4, 1, 5
2019/3/15, 68, 38, 43, 5, 1, 6
2019/3/16, 76, 25, 47, 3, 1, 6
2019/3/17, 53, 37, 42, 3, 1, 5
2019/3/18, 68, 36, 33, 3, 1, 6
2019/3/19, 65, 33, 30, 4, 1, 5
2019/3/20, 65, 27, 22, 4, 1, 5
2019/3/21, 56, 25, 20, 4, 2, 4
2019/3/22, 50, 28, 20, 5, 1, 4
2019/3/23, 46, 26, 21, 4, 1, 5
2019/3/24, 52, 25, 24, 2, 1, 4
2019/3/25, 57, 27, 27, 4, 1, 5
2019/3/26, 57, 28, 28, 4, 1, 5
2019/3/27, 58, 24, 28, 2, 1, 5
2019/3/28, 55, 25, 24, 3, 1, 5
2019/3/29, 59, 27, 23, 3, 2, 5
2019/3/30, 59, 28, 26, 2, 1, 5
2019/3/31, 42, 19, 20, 2, 1, 5
2018/10/1, 90, 45, 74, 4, 2, 5
2018/10/2, 86, 54, 75, 4, 3, 6
2018/10/3, 93, 53, 93, 4, 3, 6
2018/10/4, 103, 57, 83, 10, 5, 7
2018/10/5, 122, 60, 83, 8, 5, 8
2018/10/6, 133, 58, 86, 6, 4, 7
2018/10/7, 123, 43, 59, 6, 4, 6
2018/10/8, 82, 35, 45, 6, 2, 6
2018/10/9, 63, 32, 32, 6, 2, 6
2018/10/10, 61, 49, 53, 6, 3, 7
2018/10/11, 106, 40, 57, 4, 2, 6
2018/10/12, 87, 34, 42, 3, 3, 5
2018/10/13, 57, 26, 28, 3, 2, 5
2018/10/14, 51, 22, 27, 5, 3, 5
2018/10/15, 42, 22, 35, 5, 1, 5
2018/10/16, 43, 25, 22, 7, 1, 5
2018/10/17, 41, 24, 32, 6, 1, 5
2018/10/18, 42, 27, 37, 4, 1, 6
2018/10/19, 46, 20, 24, 3, 1, 5
2018/10/20, 40, 21, 28, 3, 1, 5
2018/10/21, 45, 32, 27, 3, 1, 5
2018/10/22, 52, 24, 37, 3, 1, 5
2018/10/23, 48, 32, 37, 3, 1, 5
2018/10/24, 58, 32, 30, 4, 1, 5
2018/10/25, 56, 33, 33, 5, 1, 5
2018/10/26, 58, 41, 63, 6, 1, 6
2018/10/27, 81, 50, 92, 6, 2, 7
2018/10/29, 97, 53, 94, 8, 2, 6
2018/10/30, 100, 51, 78, 13, 3, 5
2018/10/31, 90, 52, 71, 13, 3, 5
2018/11/1, 114, 50, 83, 15, 3, 6
2018/11/2, 92, 54, 80, 12, 5, 6
2018/11/3, 100, 48, 56, 10, 4, 6
2018/11/4, 97, 25, 42, 5, 2, 5
2018/11/5, 64, 29, 27, 7, 2, 5
2018/11/6, 57, 30, 35, 3, 1, 4
2018/11/7, 55, 27, 21, 3, 2, 4
2018/11/8, 48, 30, 26, 3, 2, 4
2018/11/9, 58, 34, 35, 3, 2, 5
2018/11/10, 65, 31, 31, 3, 2, 5
2018/11/11, 60, 27, 22, 3, 2, 5
2018/11/12, 51, 30, 26, 4, 2, 4
2018/11/13, 48, 31, 41, 3, 1, 5
2018/11/14, 56, 31, 30, 3, 2, 6
2018/11/15, 62, 23, 22, 5, 2, 5
2018/11/16, 48, 25, 20, 6, 2, 5
2018/11/17, 49, 29, 20, 6, 2, 5
2018/11/18, 56, 21, 20, 4, 2, 5
2018/11/19, 46, 22, 23, 5, 2, 5
2018/11/20, 50, 26, 28, 4, 3, 6
2018/11/21, 54, 23, 27, 5, 2, 5
2018/11/22, 47, 27, 31, 5, 2, 6
2018/11/23, 41, 24, 40, 6, 2, 6
2018/11/24, 65, 32, 43, 4, 2, 6
2018/11/25, 63, 28, 39, 5, 2, 5
2018/11/26, 72, 25, 34, 6, 2, 6
2018/11/27, 64, 29, 40, 12, 2, 7
2018/11/28, 40, 21, 27, 10, 2, 7
2018/11/29, 36, 16, 32, 4, 2, 5
2018/11/30, 29, 30, 31, 3, 2, 5
2018/12/1, 58, 32, 28, 4, 2, 6
2018/12/2, 62, 34, 24, 4, 2, 5
2018/12/3, 61, 29, 23, 5, 2, 5
2018/12/4, 55, 27, 34, 5, 2, 4
2018/12/5, 55, 28, 26, 5, 2, 3
2018/12/6, 52, 28, 23, 5, 2, 4
2018/12/7, 54, 28, 22, 3, 2, 3
2018/12/8, 54, 26, 27, 3, 2, 4
2018/12/9, 58, 11, 25, 4, 2, 4
2018/12/10, 27, 21, 27, 3, 2, 4
2018/12/11, 42, 16, 43, 5, 2, 5
2018/12/12, 40, 18, 28, 5, 2, 5
2018/12/13, 41, 15, 40, 6, 2, 7
2018/12/14, 34, 23, 43, 5, 2, 7
2018/12/15, 58, 23, 34, 4, 2, 6
2018/12/16, 56, 22, 35, 6, 2, 7
2018/12/17, 47, 20, 35, 5, 2, 6
2018/12/18, 58, 29, 53, 6, 2, 6
2018/12/19, 58, 37, 52, 7, 2, 6
2018/12/20, 63, 38, 34, 6, 1, 6
2018/12/21, 65, 31, 30, 6, 2, 5
2018/12/22, 57, 31, 30, 4, 1, 5
2018/12/23, 50, 30, 40, 6, 2, 5
2018/12/24, 76, 27, 36, 8, 2, 7
2018/12/25, 62, 20, 44, 4, 2, 6
2018/12/26, 30, 22, 31, 5, 2, 6
2018/12/27, 43, 26, 40, 3, 2, 6
2018/12/28, 49, 43, 40, 2, 2, 5
2018/12/29, 62, 23, 36, 4, 2, 6
2018/12/30, 32, 16, 34, 4, 2, 7
2018/12/31, 37, , , , , 
2018/7/1, 46, 26, 30, 6, 2, 5
2018/7/2, 47, 24, 29, 4, 2, 5
2018/7/3, 44, 27, 32, 5, 2, 6
2018/7/4, 46, 31, 38, 8, 3, 6
2018/7/5, 55, 36, 33, 10, 3, 6
2018/7/6, 48, 29, 32, 8, 3, 5
2018/7/7, 42, 22, 27, 7, 2, 5
2018/7/8, 45, 19, 25, 6, 1, 5
2018/7/9, 40, 22, 25, 6, 1, 5
2018/7/10, 40, 15, 12, 6, 1, 6
2018/7/11, 29, 22, 22, 5, 2, 6
2018/7/12, 36, 22, 30, 6, 1, 6
2018/7/13, 46, 21, 24, 7, 1, 6
2018/7/14, 40, 14, 26, 5, 1, 5
2018/7/15, 29, 14, 22, 5, 1, 5
2018/7/16, 21, 19, 30, 4, 2, 6
2018/7/17, 37, 16, 16, 5, 1, 6
2018/7/18, 30, 22, 15, 7, 2, 7
2018/7/19, 38, 31, 22, 8, 3, 7
2018/7/20, 47, 28, 21, 7, 5, 7
2018/7/21, 43, 22, 22, 2, 1, 5
2018/7/22, 40, 25, 29, 2, 1, 6
2018/7/23, 39, 28, 44, 6, 1, 7
2018/7/24, 57, 30, 24, 9, 2, 8
2018/7/25, 54, 28, 17, 10, 2, 7
2018/7/26, 52, 23, 13, 10, 2, 6
2018/7/27, 47, 25, 17, 8, 2, 6
2018/7/28, 44, 23, 22, 8, 2, 5
2018/7/29, 47, 26, 20, 9, 2, 6
2018/7/30, 47, 27, 19, 8, 3, 6
2018/7/31, 50, 29, 24, 7, 2, 6
2018/8/1, 43, 29, 24, 7, 3, 5
2018/8/2, 51, 33, 30, 8, 2, 5
2018/8/3, 61, 39, 27, 8, 3, 5
2018/8/4, 62, 35, 24, 8, 3, 5
2018/8/5, 62, 27, 23, 7, 3, 5
2018/8/6, 50, 27, 21, 7, 3, 5
2018/8/7, 54, 29, 22, 8, 5, 5
2018/8/8, 51, 19, 12, 8, 3, 5
2018/8/9, 40, 22, 40, 3, 3, 4
2018/8/10, 52, 25, 29, 5, 4, 5
2018/8/11, 45, 28, 28, 4, 4, 4
2018/8/12, 45, 23, 26, 4, 6, 4
2018/8/13, 40, 24, 23, 5, 4, 5
2018/8/14, 29, 25, 33, 4, 1, 4
2018/8/15, 48, 28, 25, 4, 1, 5
2018/8/16, 44, 31, 25, 9, 2, 6
2018/8/17, 50, 31, 29, 9, 3, 6
2018/8/18, 53, 24, 28, 7, 2, 5
2018/8/19, 41, 24, 24, 6, 2, 5
2018/8/20, 43, 33, 27, 6, 1, 5
2018/8/21, 59, 26, 28, 6, 2, 6
2018/8/22, 53, 24, 24, 5, 1, 5
2018/8/23, 45, 24, 25, 4, 1, 4
2018/8/24, 50, 25, 21, 5, 1, 4
2018/8/25, 45, 19, 22, 6, 1, 5
2018/8/26, 34, 20, 39, 5, 1, 5
2018/8/27, 43, 29, 36, 8, 1, 6
2018/8/28, 50, 33, 21, 5, 1, 4
2018/8/29, 38, 23, 22, 5, 2, 6
2018/8/30, 39, 36, 25, 4, 2, 5
2018/8/31, 64, 29, 24, 4, 2, 5
2018/9/1, 56, 28, 21, 5, 2, 6
2018/9/2, 61, 27, 25, 3, 2, 5
2018/9/3, 55, 23, 23, 5, 2, 5
2018/9/4, 40, 23, 24, 6, 2, 5
2018/9/5, 39, 26, 27, 6, 2, 5
2018/9/6, 41, 23, 21, 6, 3, 4
2018/9/7, 39, 19, 22, 6, 2, 4
2018/9/8, 39, 18, 26, 5, 2, 4
2018/9/9, 34, 20, 34, 6, 2, 5
2018/9/10, 45, 20, 50, 5, 2, 5
2018/9/11, 46, 29, 42, 7, 2, 5
2018/9/12, 65, 51, 69, 9, 3, 6
2018/9/13, 102, 34, 39, 6, 2, 5
2018/9/14, 67, 34, 47, 8, 2, 5
2018/9/15, 64, 46, 43, 7, 2, 6
2018/9/16, 98, 33, 49, 4, 1, 5
2018/9/17, 56, 26, 29, 3, 1, 5
2018/9/18, 41, 23, 29, 3, 1, 4
2018/9/19, 38, 25, 25, 7, 3, 5
2018/9/20, 52, 24, 20, 6, 4, 4
2018/9/21, 50, 18, 19, 4, 3, 4
2018/9/22, 42, 17, 17, 4, 3, 4
2018/9/23, 36, 20, 27, 4, 3, 5
2018/9/24, 45, 28, 24, 4, 4, 6
2018/9/25, 45, 17, 17, 4, 2, 5
2018/9/26, 32, 26, 24, 4, 2, 5
2018/9/27, 52, 29, 42, 4, 2, 6
2018/9/28, 64, 27, 39, 6, 2, 7
2018/9/29, 68, 35, 52, 7, 2, 7
2018/9/30, 81, 42, 57, 6, 2, 6
2018/4/1, 62, 37, 42, 7, 2, 5
2018/4/2, 72, 42, 41, 7, 2, 5
2018/4/3, 79, 36, 31, 4, 1, 5
2018/4/4, 63, 31, 29, 5, 2, 5
2018/4/5, 61, 32, 30, 6, 2, 5
2018/4/6, 64, 30, 42, 4, 1, 6
2018/4/7, 51, 71, 65, 5, 2, 5
2018/4/8, 95, 58, 54, 3, 2, 6
2018/4/9, 84, 41, 36, 4, 2, 6
2018/4/10, 62, 33, 24, 4, 2, 6
2018/4/11, 57, 25, 19, 4, 1, 6
2018/4/12, 55, 28, 17, 3, 2, 5
2018/4/13, 55, 22, 16, 4, 2, 5
2018/4/14, 52, 25, 21, 6, 1, 5
2018/4/15, 54, 18, 41, 7, 1, 8
2018/4/16, 48, 16, 34, 8, 1, 8
2018/4/17, 38, 21, 36, 7, 1, 7
2018/4/18, 47, 24, 32, 4, 1, 6
2018/4/19, 53, 26, 28, 3, , 6
2018/4/20, 52, 23, 23, 3, 1, 6
2018/4/21, 46, 26, 21, 6, 1, 6
2018/4/22, 54, 28, 16, 6, 1, 6
2018/4/23, 64, 28, 17, 6, 1, 6
2018/4/24, 62, 26, 15, 6, 1, 6
2018/4/25, 61, 24, 16, 5, 1, 5
2018/4/26, 57, 26, 23, 5, 2, 4
2018/4/27, 61, 33, 27, 5, 2, 5
2018/4/28, 60, 28, 28, 3, 2, 5
2018/4/29, 60, 25, 20, 5, 2, 5
2018/4/30, 52, 21, 28, 5, 2, 4
2018/5/1, 53, 26, 16, 4, 2, 5
2018/5/2, 59, 22, 15, 4, 1, 4
2018/5/3, 56, 23, 21, 4, 1, 4
2018/5/4, 56, 24, 20, 3, 1, 4
2018/5/5, 45, 17, 19, 4, 1, 4
2018/5/6, 23, 19, 30, 3, 1, 5
2018/5/7, 34, 27, 38, 5, 1, 6
2018/5/8, 51, 27, 31, 3, 1, 6
2018/5/9, 53, 27, 24, 3, 1, 5
2018/5/10, 55, 22, 19, 5, 1, 5
2018/5/11, 49, 26, 22, 4, 1, 5
2018/5/12, 49, 22, 22, 4, 1, 5
2018/5/13, 49, 23, 20, 5, 2, 5
2018/5/14, 47, 22, 29, 6, 2, 6
2018/5/15, 47, 25, 17, 5, 2, 6
2018/5/16, 53, 25, 18, 4, 2, 5
2018/5/17, 55, 22, 21, 4, 1, 5
2018/5/18, 52, 23, 19, 4, 2, 5
2018/5/19, 51, 21, 19, 4, 2, 6
2018/5/20, 56, 23, 22, 4, 2, 5
2018/5/21, 54, 20, 21, 4, 1, 5
2018/5/22, 41, 24, 22, 7, 1, 6
2018/5/23, 41, 22, 21, 6, 2, 6
2018/5/24, 42, 21, 26, 5, 1, 4
2018/5/25, 36, 22, 20, 4, 2, 4
2018/5/26, 49, 21, 34, 6, 1, 5
2018/5/27, 43, 23, 17, 7, 2, 5
2018/5/28, 50, 25, 28, 5, 3, 5
2018/5/29, 59, 24, 19, 6, 4, 5
2018/5/30, 49, 19, 20, 5, 2, 5
2018/5/31, 43, 24, 24, 6, 3, 5
2018/6/1, 47, 27, 24, 6, 3, 5
2018/6/2, 44, 26, 33, 4, 2, 5
2018/6/3, 40, 14, 21, 5, 2, 5
2018/6/4, 23, 18, 24, 8, 1, 6
2018/6/5, 31, 22, 48, 5, 2, 7
2018/6/6, 52, 26, 62, 3, 1, 7
2018/6/7, 56, 24, 36, 5, 1, 6
2018/6/8, 45, 18, 30, 4, 1, 6
2018/6/9, 32, 17, 27, 5, 1, 5
2018/6/10, 31, 23, 22, 7, 1, 6
2018/6/11, 40, 27, 20, 5, 2, 5
2018/6/12, 38, 29, 22, 4, 1, 4
2018/6/13, 44, 24, 19, 6, 1, 5
2018/6/14, 48, 26, 23, 9, 1, 7
2018/6/15, 56, 23, 24, 9, 2, 7
2018/6/16, 46, 22, 25, 9, 1, 6
2018/6/17, 40, 24, 25, 6, 1, 6
2018/6/18, 42, 34, 27, 7, 3, 6
2018/6/19, 54, 32, 27, 7, 1, 5
2018/6/20, 53, 26, 29, 7, 1, 4
2018/6/21, 49, 28, 30, 7, 1, 6
2018/6/22, 50, 26, 35, 6, 2, 6
2018/6/23, 49, 26, 28, 5, 2, 6
2018/6/24, 50, 28, 22, 7, 2, 6
2018/6/25, 51, 36, 21, 8, 2, 6
2018/6/26, 59, 25, 22, 5, 2, 5
2018/6/27, 44, 24, 27, 6, 2, 6
2018/6/28, 46, 25, 30, 4, 1, 6
2018/6/29, 73, 26, 32, 5, 1, 5
2018/6/30, 47, 23, 32, 4, 2, 6
2018/1/2, 74, 39, 42, 8, 1, 7
2018/1/3, 81, 31, 33, 5, 1, 6
2018/1/4, 54, 32, 32, 4, 1, 5
2018/1/5, 64, 18, 24, 6, , 5
2018/1/6, 39, 18, 20, 7, , 6
2018/1/7, 37, 23, 18, 7, 1, 6
